   ,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
53,Jerami Grant,POR,13,33.4,17.5,5.8,15,38.5,2.4,6.9,34.4,3.6,4.5,79.7,0.3,3.3,3.6,2.2,0.8,1.2,1.5,13.6
54,Alperen Sengun,HOU,13,29.1,17.3,6.6,14.2,46.7,0.5,1.6,33.3,3.5,4.6,76.7,3.7,7.7,11.4,4.5,1,1.5,2.1,25
55,Lauri Markkanen,UTA,9,29.9,17.2,5,11.8,42.5,2.4,5.4,44.9,4.8,5.6,86,1.7,4.3,6,2.6,0.6,0,1.7,17.1
56,OG Anunoby,NYK,12,36.6,16.9,6.3,12.8,49.7,2.1,5.7,36.8,2.2,2.6,83.9,0.8,4.4,5.3,2.4,1.5,0.7,1.3,18.6
57,Bam Adebayo,MIA,11,35.2,16.6,6.1,14.3,42.7,0.6,2.4,26.9,3.8,5.5,70,3,6.3,9.3,4.2,2,1.3,1.4,22.2
58,Cameron Johnson,BKN,13,33.3,16.5,5.5,12,46.2,2.8,7.5,36.7,2.7,3,89.7,0.7,3.5,4.2,2.7,0.7,0.4,0.5,17.2
59,Chet Holmgren,OKC,10,26.5,16.4,5.6,11.1,50.5,1.4,3.7,37.8,3.8,4.9,77.6,1.6,7.1,8.7,2,0.8,2.6,2.3,21.6
60,Anfernee Simons,POR,12,29.8,16.3,5.7,14.8,38.2,2.2,7.3,29.9,2.8,3,91.7,0.2,1.8,2,4.3,0.8,0.1,2.4,11.5
61,Jakob Poeltl,TOR,14,32.6,16.2,7.1,12,59.5,0,0,0,1.9,3,64.3,4.4,7.2,11.6,2.7,1.1,1.3,2.5,24.6
62,Christian Braun,DEN,11,35.5,16.2,5.9,10.6,55.6,1.5,3.3,47.2,2.8,3.5,81.6,1.2,4.1,5.3,1.7,1.3,0.8,1.2,18.7
63,Mikal Bridges,NYK,12,38.3,16.2,6.8,13.9,48.5,2.1,6.3,32.9,0.6,0.9,63.6,1.2,2.8,3.9,3.6,1.3,0.7,1.6,16.5
63,Tyrese Haliburton,IND,12,34.7,16.2,5.7,14.2,40,2.3,7.8,28.7,2.6,3.3,77.5,0.7,3.2,3.8,8.5,1.2,0.4,1.9,18.9
65,Jimmy Butler,MIA,8,30.5,16.1,5.4,11.3,47.8,0.3,1.6,15.4,5.1,7,73.2,2.6,2.1,4.8,4.9,1.5,0.3,1.8,18
66,Myles Turner,IND,11,32.3,16.1,5.6,12.4,45.6,2.1,5.3,39.7,2.7,4,68.2,0.7,5.9,6.6,1.5,1,1.7,2.6,16.3
67,Collin Sexton,UTA,12,26.9,15.9,5.2,11.4,45.3,1.6,3.8,42.2,4,4.6,87.3,0.7,2.2,2.8,3,0.8,0.2,2.4,13.5
68,Payton Pritchard,BOS,14,28.2,15.5,5.1,10.9,46.4,3.7,8.9,41.9,1.6,1.9,88.5,0.8,1.8,2.6,2.8,1.1,0.1,1.2,14.8
