Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Hyunjung Lee,2,14.9,5,2,7.5,26.7,0,5,0,1,2,50,3,2.5,5.5,2,0,0,0,1.5,-8
Jayvon Graves,3,11.2,5,1.7,5.3,31.3,0.3,1.7,20,1.3,2,66.7,0.3,3,3.3,1,0.3,0.3,0.3,1.3,10
Joirdon Nicholas,1,10.9,5,2,6,33.3,0,0,0,1,2,50,3,0,3,1,2,0,1,6,0
Khalid Moore,1,11.1,5,2,2,100,1,1,100,0,0,0,1,2,3,0,1,0,0,0,10
Miller Kopp,3,20,5,1.7,7.3,22.7,1.7,5.7,29.4,0,0,0,1,1.7,2.7,1,1.3,1,0,0.7,-6
Nathan Knight,3,14.9,5,0.7,3.7,18.2,0.3,1.7,20,3.3,4.7,71.4,1.7,2.3,4,1,2,0.3,0,5.3,-6
Nick Ongenda,2,19.5,5,2,3,66.7,0,0,0,1,2,50,3,2,5,0.5,1.5,0.5,1.5,4,2
Pedro Bradshaw,2,6.2,5,1.5,2.5,60,1,2,50,1,1,100,0,1,1,1.5,0,1,0,0.5,-2
Seth Millner Jr.,3,8.1,5,1.3,3.3,40,0.7,1.3,50,1.7,2,83.3,1.3,0.3,1.7,0.7,0,0.3,0.3,0.3,7
Tyrece Radford,2,11.4,5,1.5,3.5,42.9,0,0.5,0,2,2,100,2.5,0.5,3,1.5,0.5,0,0,0.5,5
Javante McCoy,4,13,4.8,2,5,40,0.3,1.8,14.3,0.5,0.8,66.7,1,1.5,2.5,2,1,1,0,0.8,8
Philip Alston,3,12.3,4.7,1.7,3.3,50,0.3,1.3,25,1,1.3,75,0.7,1.7,2.3,1,0.7,0.7,0,1,2
Quincy Guerrier,3,12.9,4.7,1.3,4,33.3,0.7,2.3,28.6,1.3,2.7,50,1.7,3,4.7,0.7,0.3,1,0,1.7,-8
Alex Fudge,5,13.1,4.6,2.2,5.8,37.9,0.2,1.6,12.5,0,0.4,0,1,2.2,3.2,1.2,0.6,0.6,0.4,1.4,-9
Kira Lewis Jr.,5,13,4.6,1.8,5.6,32.1,0.4,1.8,22.2,0.6,0.8,75,0.4,2.2,2.6,1,1.8,0.4,0,1.8,-4
Ulrich Chomche,5,19.3,4.6,1.8,3.6,50,0.2,0.4,50,0.8,1.8,44.4,1.8,3.6,5.4,1.4,2.2,0.2,1.4,4.8,-5
Devin Cannady,4,9.2,4.5,1.5,3.5,42.9,1.5,3.3,46.2,0,0,0,0,0.5,0.5,0.5,0.3,0.3,0,1,4
Nikola Djurisic,2,16.1,4.5,1,3.5,28.6,0,1.5,0,2.5,4.5,55.6,0,1.5,1.5,1,2.5,0.5,0.5,1.5,-12
Obadiah Noel,4,9.2,4.5,1,3.3,30.8,0.8,1.5,50,1.8,2.5,70,0,0.8,0.8,1.3,0.3,0.8,0,1.5,3
Sam Peek,2,5.9,4.5,1.5,3,50,0.5,1,50,1,1,100,1,1,2,0.5,0,0,0.5,1,-5
Malevy Leons,5,14.8,4.4,1.2,3.2,37.5,0.4,1.2,33.3,1.6,2,80,1.6,1.2,2.8,0.4,1,1.2,0.6,1.2,-5
Andre Jackson Jr.,3,18.3,4.3,2,4,50,0.3,2.3,14.3,0,0,0,0.7,1.7,2.3,2,3,0,0,2.3,-12
Myron Gardner,3,11.1,4.3,2,4,50,0.3,1.7,20,0,0,0,0.3,3,3.3,1.7,0.3,1,0.3,1.7,0
Walter Ellis,3,11.9,4.3,1.7,4.7,35.7,0.7,2.7,25,0.3,0.3,100,0,1.7,1.7,0.3,1,0.7,0.3,1.7,4
Joe Wieskamp,5,6.4,4.2,1.4,2.2,63.6,0.8,1.4,57.1,0.6,0.8,75,0.4,0.8,1.2,0,0.2,0,0,0.2,1
Terry Taylor,5,15.8,4.2,1.6,4.2,38.1,0.2,1.4,14.3,0.8,0.8,100,2.2,1.8,4,1.4,0.6,0.2,0.8,1.6,-1
Amari Kelly,1,15.7,4,2,3,66.7,0,0,0,0,0,0,3,2,5,0,1,0,0,0,-2
Fardaws Aimaq,3,15,4,1.7,4.3,38.5,0,1,0,0.7,0.7,100,1.3,3,4.3,1.3,1.7,0,0,3,-5
Josh Oduro,2,20.6,4,2,6.5,30.8,0,1,0,0,0.5,0,2.5,3.5,6,3,2.5,0,0.5,4,7
Markquis Nowell,3,14.3,4,1,2.7,37.5,0.3,1.3,25,1.7,2.7,62.5,0,2,2,1.7,1.7,1.7,0,1,-1
Nate Hinton,5,17.9,4,0.8,4,20,0.6,2,30,1.8,2,90,1.2,3,4.2,1.4,0.8,0.6,0,1.6,-3
T.J. Clark,3,7.6,4,1.3,2.3,57.1,1,1,100,0.3,0.7,50,0,0.3,0.3,1,1.3,0,0,1.3,1
Trevon Scott,2,11.2,4,1.5,4,37.5,1,2.5,40,0,0,0,1.5,0.5,2,1,0,0.5,0.5,0.5,2
Tyler Thomas,2,5.9,4,1.5,2,75,1,1.5,66.7,0,0,0,0,1,1,0.5,0.5,0,0,0.5,-1
Zhaire Smith,5,14.1,4,1.4,3.8,36.8,0.2,1,20,1,1.4,71.4,0.6,0.8,1.4,1,1.6,1.2,0.4,2.2,-8
DJ Horne,4,11.1,3.8,1.5,5.5,27.3,0.3,2.8,9.1,0.5,0.5,100,0.8,0.8,1.5,1.5,0.8,0.3,0.3,2,-1
Jameer Nelson Jr.,5,9.2,3.8,1.6,5,32,0.4,1.2,33.3,0.2,0.2,100,0.2,0.6,0.8,1.6,0.6,0,0,0.6,1
Jaylen Clark,4,18,3.8,1.5,6.3,24,0.5,2.3,22.2,0.3,0.5,50,0.5,1,1.5,0.8,0.5,2.8,0.5,2.8,-2
Caleb McConnell,3,10.3,3.7,1.3,3,44.4,0,0.7,0,1,2,50,1.3,3.3,4.7,2,1.3,1.3,0,1,1
Charles Bediako,3,11.5,3.7,1,2.3,42.9,0.3,0.3,100,1.3,2,66.7,1.7,0.7,2.3,0.3,0,0.7,0.3,0.7,0
Tony Bradley,3,13.1,3.7,1.7,1.7,100,0,0,0,0.3,0.7,50,2,2,4,0.3,0.7,1.3,1,1.3,5
Tristan Enaruna,3,14.7,3.7,1.7,3.3,50,0,1,0,0.3,0.7,50,0.3,0.7,1,0,0.3,1,0.7,0.3,-6
Jalen Slawson,5,14.4,3.6,1.2,3.4,35.3,0.4,2,20,0.8,1.6,50,0.2,2.6,2.8,0.4,1.6,0.8,1,1.6,0
Josh Bannan,5,12.5,3.6,1.2,3.2,37.5,0,1,0,1.2,1.6,75,1.2,3.2,4.4,0.6,1.2,0.2,0,2.6,2
N'Faly Dante,5,13.1,3.6,1.8,3.4,52.9,0,0,0,0,0.4,0,2,3.2,5.2,0,0.6,0.2,0.8,2.4,-1
Zylan Cheatham,5,17,3.6,1.2,2.2,54.5,0,0.4,0,1.2,2.4,50,1,2.4,3.4,2,1.6,0.6,0.6,3.4,-3
Ahmad Caver,2,9.6,3.5,1.5,3,50,0.5,1,50,0,0,0,0,1,1,2.5,0.5,0.5,0,0.5,8
Chase Audige,2,9.2,3.5,0.5,1.5,33.3,0.5,1.5,33.3,2,3,66.7,0.5,0,0.5,0.5,0,1,0,1.5,-9
Cormac Ryan,4,12.9,3.5,0.8,4.3,17.6,0.8,3,25,1.3,1.3,100,1,1.3,2.3,0.3,0.5,0.5,0,1.8,-10
Garrison Brooks,4,13.3,3.5,1.5,3,50,0.5,0.5,100,0,0,0,1.5,2.3,3.8,0.8,1,0.5,0.8,2.5,-7
Ibrahima Diallo,4,13.5,3.5,1,2.8,36.4,0,0.3,0,1.5,2,75,2.5,2.8,5.3,0.5,0.5,0.3,0.8,2.8,-4
Jalen Pickett,4,25,3.5,1.3,6,20.8,0.3,2,12.5,0.8,1,75,0.8,2,2.8,2.8,0.8,0,0.3,1.5,-6
Jonathan Mogbo,2,12.9,3.5,1.5,2.5,60,0,0.5,0,0.5,1,50,0.5,3,3.5,2,1.5,0.5,0.5,1.5,9
Joseph Girard III,2,14.4,3.5,1,4.5,22.2,0.5,3.5,14.3,1,1,100,0,2.5,2.5,1.5,0,0.5,0,1,-11
Kylor Kelley,4,18.4,3.5,1.8,3.5,50,0,0,0,0,0,0,1.8,4.5,6.3,1,0.3,0,1.5,1,-5
Mantas Rubstavicius,4,9.3,3.5,1,4.3,23.5,0.5,2.5,20,1,1,100,0,1,1,1,0.5,0,0.3,0.8,3
Sy Chatman,2,11.7,3.5,1,3,33.3,0,0.5,0,1.5,2,75,0.5,1,1.5,0.5,0,1.5,0,1,4
Trey Woodbury,2,9.8,3.5,1,4.5,22.2,0.5,3,16.7,1,1,100,0,1,1,0.5,0,0.5,0,1.5,-2
Xavier Sneed,5,17.6,3.4,1,3,33.3,0.4,2.4,16.7,1,1.6,62.5,0.2,0.8,1,0.6,1.2,1,0.6,1.4,-5
RaeQuan Battle,3,7.8,3.3,1,3.3,30,0.3,1.7,20,1,1,100,0,0.7,0.7,0,1,0.3,0,1,2
Brice Sensabaugh,1,12,3,1,5,20,1,1,100,0,0,0,0,2,2,2,1,0,0,2,0
Bryson Williams,2,9,3,1.5,2.5,60,0,0,0,0,0,0,1,1,2,0.5,0,0,0,1.5,-5
Cui Yongxi,3,7.2,3,1,2.3,42.9,0.7,1.7,40,0.3,0.3,100,0,0,0,0.3,0,0,0,1,2
Drew Pember,5,9.5,3,1.2,2.2,54.5,0.4,1.2,33.3,0.2,0.8,25,0.4,0.8,1.2,0.8,0.4,0,0.6,2.2,-2
Dylan Disu,3,8.6,3,1.3,4.3,30.8,0.3,1.7,20,0,0,0,0.7,1.3,2,0,0,0,1.7,1,-8
James Bishop IV,1,7.4,3,1,1,100,1,1,100,0,0,0,0,1,1,1,1,1,0,0,5
James Caron Butler Jr.,2,10,3,1,2.5,40,0.5,1,50,0.5,1,50,1,1.5,2.5,0,0.5,0,0,0,3
Jamuni McNeace,2,5.4,3,1.5,1.5,100,0,0,0,0,1,0,1.5,0.5,2,1,1,0,0.5,0.5,-2
Joey Hauser,4,13.5,3,1.3,2.5,50,0.5,1.5,33.3,0,0,0,0.5,1,1.5,0,1.5,0.5,0.3,1.8,-6
Kendric Davis,3,13.5,3,0.7,3.3,20,0.3,2,16.7,1.3,2,66.7,0,1.7,1.7,3.3,1.7,1.3,0,2,-7
Leaky Black,5,21.8,3,1,3.8,26.3,0.6,2,30,0.4,0.4,100,0.8,3.2,4,1.6,0.8,1.6,0.8,0.6,2
Marques Bolden,1,4.9,3,1,2,50,0,0,0,1,2,50,1,2,3,0,2,1,0,1,5
Santiago Vescovi,4,12.1,3,1,2.5,40,0.5,1.5,33.3,0.5,0.5,100,0.5,1.8,2.3,2.5,1.3,0.3,0,2,6
Ta'Lon Cooper,2,11.4,3,1,2,50,1,2,50,0,0,0,0,0.5,0.5,0.5,0,0,0,1,1
Trevor Hudgins,5,15,3,1,4,25,0.6,3.2,18.8,0.4,0.4,100,0.6,0.8,1.4,1.4,0.2,1.2,0,1.2,-1
Gabe McGlothan,5,16,2.8,1,2.4,41.7,0.6,1.2,50,0.2,0.4,50,1,3,4,0.2,0.6,0.4,0.4,2.4,0
Mark Armstrong,5,8.7,2.8,1,4.4,22.7,0.4,2,20,0.4,0.4,100,0,1.2,1.2,1.6,1.4,0.2,0,1,-3
Isaiah Todd,3,5.7,2.7,1,1.7,60,0,0.3,0,0.7,0.7,100,0.3,0.7,1,0.3,0.3,0,0,2.3,-1
Jaylin Williams,3,7.8,2.7,0.7,3.3,20,0,1,0,1.3,1.3,100,0.3,1,1.3,0.3,0.3,0.3,0.3,1.7,2
Logan Johnson,3,5.4,2.7,1,2,50,0,0.3,0,0.7,0.7,100,0.7,1,1.7,0.3,1,0.3,0.3,0.7,3
Jaedon LeDee,5,9.8,2.6,0.8,1.6,50,0.2,0.2,100,0.8,1.2,66.7,0.8,1.2,2,0.2,0.4,0.8,0.2,2.2,5
Jamarion Sharp,5,14.6,2.6,1.2,1.8,66.7,0,0,0,0.2,0.8,25,1.4,3.2,4.6,0.4,1,0,2.6,2,-5
Kam Hankerson,2,4.8,2.5,1,2.5,40,0.5,1.5,33.3,0,0,0,0.5,0,0.5,0,0,0,0,0,-7
Neal Sako,2,9.3,2.5,1,1,100,0,0,0,0.5,4,12.5,2,1,3,0,1,0.5,0.5,2,9
Trhae Mitchell,4,24.4,2.5,1,2.3,44.4,0.5,1,50,0,0,0,0,3.8,3.8,1.5,0.3,1.3,1,5,-5
Warren Washington,4,6.4,2.5,1.3,2.5,50,0,0,0,0,0,0,1,0.5,1.5,0.3,0,0,0.5,1.3,-4
Andrew Funk,5,13.9,2.4,0.6,3.6,16.7,0.6,3.4,17.6,0.6,0.8,75,0,0.8,0.8,0.6,0.2,0.6,0,0.4,-6
Jaylin Galloway,5,9.9,2.4,1,2.4,41.7,0.4,1.4,28.6,0,0.4,0,0.6,1,1.6,0.6,0.8,0,0.2,1,-3
Omari Moore,5,9.7,2.4,0.8,3,26.7,0.2,1.4,14.3,0.6,0.6,100,0.2,0.8,1,0.8,0.6,0.4,0.4,0.8,-3
Antoine Davis,3,6,2.3,1,2.7,37.5,0.3,1.3,25,0,0,0,0,0,0,0,0,0,0,0.3,1
Gabe Osabuohien,4,8.6,2.3,0.5,1,50,0.3,0.5,50,1,1.3,80,0.3,1,1.3,1.8,1.3,0.8,0.5,1.3,5
Ibou Badji,4,13.1,2.3,0.8,1.5,50,0,0,0,0.8,0.8,100,1,2.3,3.3,0,0.5,0.5,1,1.5,-4
Kevin Obanor,3,9.4,2.3,0.7,1.3,50,0,0.3,0,1,2,50,0.7,2,2.7,0.3,1.3,0,0.3,1.7,-1
Marcus Domask,3,11.3,2.3,1,3.3,30,0.3,1.7,20,0,0,0,0.7,1,1.7,0,0.7,0.3,0.7,0.3,-9
David Muoka,1,8.7,2,1,1,100,0,0,0,0,0,0,0,3,3,0,3,0,1,2,-2
James Akinjo,2,5.1,2,1,1,100,0,0,0,0,0,0,0,0,0,1,2,0,0,0.5,-8
KJ Jones II,1,9.4,2,1,2,50,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-1
Kamani Johnson,1,13.1,2,1,3,33.3,0,0,0,0,0,0,4,3,7,0,2,0,1,1,2
Matt Lewis,3,8.8,2,0.7,3.3,20,0.7,2.7,25,0,0,0,0,0,0,0.7,0.3,0.3,0,0.7,-1
Max Fiedler,2,7.6,2,1,2.5,40,0,0,0,0,0,0,2,0.5,2.5,0,0.5,0,0,2,6
Nojel Eastern,2,6.3,2,0.5,1.5,33.3,0,0.5,0,1,1,100,0.5,0,0.5,0.5,0,0,0.5,0,7
Tristan Vukcevic,1,14.8,2,1,6,16.7,0,3,0,0,0,0,0,1,1,0,1,1,1,3,-3
Tyler Robertson,1,14.3,2,1,4,25,0,3,0,0,0,0,0,3,3,1,0,1,0,1,12
Au'Diese Toney,5,15.1,1.8,0.2,2.4,8.3,0,1,0,1.4,1.6,87.5,0.8,1.8,2.6,0.6,1,0.8,0,1.8,-8
Mike Miles Jr.,4,7.5,1.8,0.8,3.8,20,0,1.3,0,0.3,0.8,33.3,0,1.3,1.3,0.8,0.3,0.3,0.3,0.8,-3
Tylor Perry,4,7.3,1.8,0.5,2.3,22.2,0.5,2,25,0.3,0.5,50,0.5,0.3,0.8,1.5,0.3,0,0,1,0
Tyrese Samuel,4,8.5,1.8,0.8,1.3,60,0,0.3,0,0.3,1,25,0.8,0.8,1.5,0.3,0,0.3,0.5,1,3
Malik Osborne,3,4.6,1.7,0.7,1,66.7,0.3,0.7,50,0,0,0,0.3,2.3,2.7,0,0,0,0,0.3,1
Charles Pride,2,8.8,1.5,0.5,1,50,0.5,0.5,100,0,0,0,0.5,1,1.5,0.5,0.5,0,0,0,-4
Jaylen Sims,4,10.4,1.5,0.3,1,25,0.3,0.5,50,0.8,1.3,60,0.3,1.8,2,1,0.5,0,0,0.8,-1
Shahada Wells,4,3.8,1.5,0.8,2.5,30,0,0.3,0,0,0,0,0.5,0.8,1.3,0.8,1,0.3,0.5,0.3,-1
Vin Baker Jr.,4,8.6,1.5,0.8,1.5,50,0,0,0,0,0.5,0,0.8,0.5,1.3,0.3,1.3,0,1.3,3,-5
Timmy Allen,6,6.7,1.3,0.5,1.8,27.3,0.2,0.8,20,0.2,0.2,100,0,0.3,0.3,0.2,0.3,0.3,0.2,0.5,-3
William Baker,3,6.1,1.3,0.7,1.7,40,0,0.3,0,0,0,0,0.3,0,0.3,0.7,0,0,0,1.7,-3
DJ Rodman,1,2.7,1,0,1,0,0,1,0,1,2,50,1,2,3,1,0,0,0,1,-6
Dane Goodwin,2,5.9,1,0.5,1.5,33.3,0,0,0,0,0,0,0.5,1,1.5,0,0,0,0,0,0
Devine Eke,1,8.2,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,0,2,-6
Devon Higgs,3,3.7,1,0.3,1.3,25,0.3,1.3,25,0,0,0,0,0.3,0.3,0,0.7,0,0,0.7,-5
"Emmitt Matthews, Jr.",2,10.9,1,0,1,0,0,0.5,0,1,1,100,0,1,1,1,1.5,0,0,1,-1
Fabian White Jr.,4,7,1,0.5,1.8,28.6,0,0.3,0,0,0,0,1,1.8,2.8,0,0.3,0,0.3,1,-4
Jack Gohlke,3,6.3,1,0.3,1.3,25,0.3,1.3,25,0,0,0,0.3,0,0.3,0,0,0,0,0.3,-2
Jamir Chaplin,2,4.4,1,0.5,2,25,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,-10
Josiah-Jordan James,3,11.7,1,0.3,2.7,12.5,0.3,1.3,25,0,0,0,1,2.7,3.7,1,0.3,1,0.3,2.3,-5
Kihei Clark,3,4,1,0.3,0.3,100,0,0,0,0.3,1.3,25,0,0.3,0.3,0.3,0.3,0,0,0.3,-6
Lucas Williamson,3,6.5,1,0.3,2,16.7,0.3,1.7,20,0,0,0,0,0,0,0,0,0.7,0,0.7,-4
Malik Hall,2,3.7,1,0.5,0.5,100,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,-6
Parker Braun,2,13.7,1,0.5,2.5,20,0,1,0,0,0,0,1,3,4,2,1.5,0.5,1,2,7
Samson Froling,3,5.9,1,0.3,1.3,25,0,0,0,0.3,0.7,50,0.3,0.3,0.7,0,0.7,0,0,0.7,-2
Trent Forrest,2,19.2,1,0.5,3,16.7,0,0,0,0,0,0,0.5,1,1.5,4,1.5,1.5,0,1.5,-18
Warith Alatishe,2,6.3,1,0.5,1,50,0,0,0,0,0,0,0.5,2,2.5,0.5,1,1,2,0,3
Quinn Ellis,3,11.3,0.7,0,1.7,0,0,0.3,0,0.7,0.7,100,0.7,2,2.7,1.7,2.7,0.3,0,0.7,-5
Aminu Mohammed,1,5.2,0,0,1,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,5
Armaan Franklin,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6
Bryson Warren,1,3.9,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-1
Giorgi Bezhanishvili,2,3.1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1.5,0,0,1,-1
Jalen Lewis,1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
Jason Preston,1,13.4,0,0,1,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,-4
Jaykwon Walton,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
Jimmy Whitt,2,2.6,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,-7
Jourdan Smith,1,3.5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-11
Justin Moore,3,5.7,0,0,0.7,0,0,0.7,0,0,0,0,0,0.7,0.7,0.7,0,0.3,0,0.7,-5
Kenan Blackshear,2,5.6,0,0,1,0,0,0,0,0,0,0,0.5,0,0.5,1,0.5,0,0,1.5,-3
Kevin Cross Jr.,2,2.2,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,-2
Kok Yat,1,3.2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3
Kyle Castlin,1,2.7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-3
Makhtar Gueye,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6
R.J. Hampton,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Ross Williams,1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-2
Spencer Jones,1,7.5,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,-8
Tyler Wahl,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
