Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Isaiah Stevens,6,26.7,8.8,3.2,5.3,59.4,1.2,1.8,63.6,1.3,1.5,88.9,0.7,2.5,3.2,7.8,2.7,0.8,0.3,2.8,14
Dereon Seabron,3,21.4,8.7,2.7,5,53.3,0.7,1.3,50,2.7,3.3,80,0.7,3.7,4.3,2.7,1.3,0,0.3,1,-1
Quincy Olivari,3,16.6,8.7,3,8.7,34.6,2.3,7.7,30.4,0.3,0.3,100,1.3,0.3,1.7,0.3,1,0.3,0,2.3,9
Justin Edwards,5,20.3,8.6,3.6,8,45,0.6,3,20,0.8,1.2,66.7,0.6,2.6,3.2,1.6,1.6,0.2,0.4,2.6,2
DeJon Jarreau,6,17.4,8.5,2.5,5.8,42.9,0.7,1.5,44.4,2.8,3.3,85,0.7,1.8,2.5,2.2,0.5,1.2,0.5,1.7,2
Justin Minaya,4,20.6,8.5,3,5.3,57.1,1.8,3.8,46.7,0.8,1,75,1,2.3,3.3,1.8,0.5,1.8,0.8,2.3,0
Marcus Garrett,4,20.7,8.5,3.3,7.3,44.8,0.3,1.5,16.7,1.8,2,87.5,1,2.8,3.8,1.5,1,1.5,0.3,0.8,9
Ariel Hukporti,5,18.9,8.4,3.6,5.6,64.3,0,0,0,1.2,2,60,1.4,5.8,7.2,1.2,1.6,0,0.6,2.4,-6
Killian Tillie,5,17.2,8.4,3.2,6.6,48.5,1.4,3.4,41.2,0.6,0.8,75,1,2.8,3.8,0.6,0.8,0.4,1,3.6,0
Armando Bacot,3,18.5,8.3,3.7,6,61.1,0.3,0.3,100,0.7,1.3,50,2.3,2.7,5,1,2.7,1.7,1,2.7,1
Luke Travers,4,23.2,8.3,3.3,6.8,48.1,0,1.8,0,1.8,2,87.5,0.8,3.8,4.5,2,2.5,1.3,0.5,2,1
Tyson Ward,4,20.8,8.3,3.3,9.3,35.1,1,5,20,0.8,1.3,60,0.3,3,3.3,1,2,0.8,0.8,2.5,-8
Enrique Freeman,5,23.8,8.2,3.4,5.6,60.7,0.4,1.2,33.3,1,2.2,45.5,1.4,3,4.4,1,1.6,0.6,1,1.8,-5
Ethan Thompson,5,18.9,8.2,2,6.8,29.4,0.6,2.4,25,3.6,4,90,1.4,1.6,3,2,2,1.6,1,1.4,7
Jamal Shead,5,20.5,8.2,3.2,7.6,42.1,0.6,2.2,27.3,1.2,2,60,1.2,2.2,3.4,3.8,2,1.2,0.4,3,-4
Yuri Collins,5,25.8,8.2,3,6.2,48.4,0.2,1.4,14.3,2,2.8,71.4,0.4,3.2,3.6,5,2.8,0.8,0,1.8,3
